id;created_by;area;total_score;created_at
615;61;2;82.00;2023-10-24
616;128;2;89.50;2023-10-26
617;128;2;86.50;2023-10-26
618;61;2;84.00;2023-11-10
619;61;2;97.00;2023-11-12
620;61;2;94.00;2023-11-13
621;61;2;88.00;2023-11-14
622;108;1;90.50;2023-01-01
623;108;1;76.00;2023-01-01
624;25;1;81.25;2023-01-01
625;13;1;85.75;2023-01-01
626;48;1;76.00;2023-01-01
627;178;1;80.50;2023-01-01
628;59;1;62.25;2023-01-01
629;24;1;90.25;2023-01-01
630;108;1;46.25;2023-01-02
631;108;1;76.75;2023-01-02
632;61;1;75.75;2023-01-02
633;178;1;82.50;2023-01-02
634;59;1;91.50;2023-01-02
635;25;1;76.75;2023-01-02
636;54;1;83.00;2023-01-02
637;108;1;83.50;2023-01-02
638;108;1;77.50;2023-01-03
639;108;1;83.50;2023-01-03
640;13;1;83.50;2023-01-03
641;13;1;87.25;2023-01-03
642;13;1;71.25;2023-01-01
643;48;1;77.25;2023-01-02
644;178;1;72.00;2023-01-03
645;59;1;73.00;2023-01-03
646;124;1;84.50;2023-01-03
647;108;1;85.50;2023-01-03
648;108;1;95.00;2023-01-04
649;108;1;82.25;2023-01-04
650;108;1;85.25;2023-01-04
651;108;1;76.25;2023-01-04
652;108;1;77.75;2023-01-04
653;42;1;86.25;2023-01-04
654;59;1;95.00;2023-01-04
655;42;1;92.25;2023-01-04
656;108;1;85.50;2023-01-04
657;108;1;92.25;2023-01-04
658;108;1;76.00;2023-01-05
659;108;1;79.00;2023-01-05
660;59;1;76.25;2023-01-05
661;42;1;89.50;2023-01-05
662;93;1;91.00;2023-01-05
663;108;1;97.00;2023-01-05
664;124;1;71.00;2023-01-06
665;108;1;90.00;2023-01-06
666;42;1;92.50;2023-01-06
667;42;1;81.00;2023-01-06
668;42;1;91.50;2023-01-06
669;59;1;89.50;2023-01-06
670;25;1;88.25;2023-01-06
671;108;1;78.50;2023-01-06
672;108;1;51.00;2023-01-06
673;108;1;83.50;2023-01-08
674;5;1;78.25;2023-01-08
675;42;1;89.50;2023-01-08
676;42;1;59.25;2023-01-08
677;59;1;86.50;2023-01-07
678;6;1;78.75;2023-01-07
679;17;1;79.00;2023-10-08
680;179;1;66.00;2023-01-09
681;133;1;42.75;2023-01-08
682;108;1;67.00;2023-01-09
683;94;1;72.25;2023-01-08
684;51;1;86.50;2023-01-08
685;42;1;78.50;2023-01-09
686;31;1;81.00;2023-01-09
687;45;1;89.50;2023-01-08
688;62;1;92.00;2023-01-08
689;93;1;62.00;2023-01-09
690;5;1;59.00;2023-01-09
691;178;1;34.75;2023-01-09
692;93;1;90.50;2023-01-09
693;59;1;74.00;2023-01-09
694;108;1;33.25;2023-01-09
695;108;1;93.00;2023-01-09
696;108;1;82.25;2023-01-09
697;31;1;82.25;2023-01-09
698;51;1;81.00;2023-01-09
699;45;1;61.25;2023-01-10
700;94;1;77.50;2023-01-10
701;62;1;72.75;2023-01-10
702;24;1;54.25;2023-01-10
703;179;1;59.75;2023-01-10
704;38;1;56.25;2023-01-09
705;5;1;54.50;2023-01-10
706;93;1;70.50;2023-01-10
707;59;1;89.00;2023-01-10
708;13;1;33.25;2023-01-10
709;13;1;92.75;2023-01-10
710;13;1;75.75;2023-01-06
711;42;1;70.00;2023-01-05
712;6;1;75.00;2023-01-07
713;42;1;91.50;2023-01-10
714;42;1;51.75;2023-01-10
715;108;1;82.25;2023-01-10
716;108;1;90.50;2023-01-10
717;94;1;77.25;2023-01-10
718;105;1;77.75;2023-01-10
719;51;1;57.50;2023-01-11
720;179;1;64.50;2023-01-11
721;62;1;61.50;2023-01-11
722;133;1;50.75;2023-01-11
723;93;1;66.75;2023-01-10
724;93;1;52.75;2023-01-11
725;155;1;33.25;2023-01-11
726;5;1;33.25;2023-01-11
727;108;1;71.75;2023-01-11
728;108;1;87.50;2023-01-11
729;6;1;79.00;2023-01-11
730;25;1;90.75;2023-01-12
731;45;1;50.50;2023-01-12
732;31;1;82.50;2023-01-11
733;133;1;49.75;2023-01-12
734;62;1;62.75;2023-01-12
735;51;1;74.25;2023-01-11
736;94;1;47.25;2023-01-12
737;25;1;68.50;2023-01-12
738;59;1;71.00;2023-01-12
739;13;1;58.00;2023-01-12
740;13;1;94.75;2023-01-12
741;13;1;74.00;2023-01-08
742;13;1;75.50;2023-01-09
743;13;1;52.50;2023-01-10
744;6;1;76.50;2023-01-11
745;93;1;61.75;2023-01-12
746;93;1;63.00;2023-01-12
747;93;1;33.25;2023-01-12
748;108;1;30.75;2023-01-12
749;108;1;35.25;2023-01-12
750;178;1;92.50;2023-01-13
751;178;1;93.25;2023-01-12
752;51;1;82.50;2023-01-12
753;24;1;65.00;2023-01-12
754;105;1;76.00;2023-01-13
755;133;1;62.50;2023-01-12
756;94;1;85.25;2023-01-13
757;62;1;59.75;2023-01-12
758;135;1;78.00;2023-01-13
759;135;1;47.25;2023-01-13
760;135;1;93.75;2023-01-12
761;52;1;67.25;2023-01-12
762;52;1;58.25;2023-01-12
763;52;1;79.50;2023-01-13
764;52;1;92.50;2023-01-13
765;59;1;89.00;2023-01-13
766;108;1;77.75;2023-01-13
767;108;1;95.50;2023-01-13
768;5;1;75.50;2023-01-13
769;105;1;88.50;2023-01-13
770;25;1;83.00;2023-01-13
771;94;1;68.25;2023-01-14
772;45;1;67.50;2023-01-13
773;31;1;58.75;2023-01-13
774;133;1;68.75;2023-01-13
775;25;1;72.75;2023-01-14
776;93;1;75.75;2023-01-13
777;93;1;77.75;2023-01-14
778;93;1;33.25;2023-01-14
779;93;1;33.25;2023-01-14
780;42;1;33.25;2023-01-14
781;42;1;35.25;2023-01-14
782;52;1;94.50;2023-01-14
783;52;1;91.50;2023-01-14
784;52;1;78.00;2023-01-14
785;52;1;91.50;2023-01-14
786;6;1;75.00;2023-01-14
787;94;1;77.50;2023-01-14
788;24;1;61.50;2023-01-15
789;51;1;76.00;2023-01-15
790;45;1;66.75;2023-01-14
791;59;1;76.50;2023-01-15
792;108;1;56.25;2023-01-14
793;25;1;95.50;2023-01-14
794;108;1;79.75;2023-01-15
795;108;1;87.50;2023-01-15
796;93;1;82.75;2023-01-15
797;93;1;77.75;2023-01-15
798;52;1;33.25;2023-01-15
799;52;1;33.25;2023-01-15
800;52;1;83.50;2023-01-15
801;178;1;90.50;2023-01-15
802;178;1;85.25;2023-01-15
803;5;1;79.25;2023-01-15
804;62;1;94.50;2023-01-15
805;51;1;92.50;2023-01-15
806;94;1;51.25;2023-01-16
807;59;1;75.00;2023-01-16
808;45;1;68.50;2023-01-16
809;24;1;89.50;2023-01-15
810;42;1;54.50;2023-01-15
811;42;1;64.25;2023-01-15
812;108;1;95.50;2023-01-16
813;108;1;81.00;2023-01-16
814;108;1;85.25;2023-01-16
815;25;1;90.25;2023-01-16
816;52;1;85.25;2023-01-16
817;52;1;81.50;2023-01-16
818;52;1;81.25;2023-01-16
819;59;1;72.75;2023-01-16
